pressure,temperature,rho,etha
0,5,1070.0,0.00117
0,15,1063.142775862069,0.0010763282421160287
0,26,1056.2855517241378,0.0009901559698945134
0,37,1049.428327586207,0.0009108827645275666
0,48,1042.5711034482758,0.0008379562775365337
0,59,1035.7138793103447,0.0007708683821974261
0,70,1028.8566551724136,0.0007091516330883612
0,81,1021.9994310344828,0.0006523760090903476
0,91,1015.1422068965518,0.0006001459171477644
0,102,1008.2849827586207,0.000552097435911765
0,113,1001.4277586206896,0.0005078957800612623
0,124,994.5705344827586,0.0004672329676337501
0,135,987.7133103448276,0.00042982567411272625
0,146,980.8560862068965,0.00039541325831973296
0,157,973.9988620689655,0.0003637559463561105
0,167,967.1416379310344,0.00033463316094079057
0,178,960.2844137931035,0.00030784198450353094
0,189,953.4271896551725,0.00028319574532495326
0,200,946.5699655172414,0.0002605227168720902
0,211,939.7127413793103,0.00023966492126686214
0,222,932.8555172413793,0.00022047702855045997
0,233,925.9982931034482,0.00020282534407408718
0,243,919.1410689655172,0.0001865868769605478
0,254,912.2838448275862,0.00017164848314603947
0,265,905.4266206896551,0.00015790607703116194
0,276,898.5693965517241,0.00014526390624819554
0,287,891.7121724137932,0.00013363388449147678
0,298,884.8549482758621,0.000122934977762263
0,309,877.997724137931,0.0001130926397516492
0,320,871.1405,0.00010403829242748202
100000,5,1070.0,0.00117
100000,15,1063.142775862069,0.0010763282421160287
100000,26,1056.2855517241378,0.0009901559698945134
100000,37,1049.428327586207,0.0009108827645275666
100000,48,1042.5711034482758,0.0008379562775365337
100000,59,1035.7138793103447,0.0007708683821974261
100000,70,1028.8566551724136,0.0007091516330883612
100000,81,1021.9994310344828,0.0006523760090903476
100000,91,1015.1422068965518,0.0006001459171477644
100000,102,1008.2849827586207,0.000552097435911765
100000,113,1001.4277586206896,0.0005078957800612623
100000,124,994.5705344827586,0.0004672329676337501
100000,135,987.7133103448276,0.00042982567411272625
100000,146,980.8560862068965,0.00039541325831973296
100000,157,973.9988620689655,0.0003637559463561105
100000,167,967.1416379310344,0.00033463316094079057
100000,178,960.2844137931035,0.00030784198450353094
100000,189,953.4271896551725,0.00028319574532495326
100000,200,946.5699655172414,0.0002605227168720902
100000,211,939.7127413793103,0.00023966492126686214
100000,222,932.8555172413793,0.00022047702855045997
100000,233,925.9982931034482,0.00020282534407408718
100000,243,919.1410689655172,0.0001865868769605478
100000,254,912.2838448275862,0.00017164848314603947
100000,265,905.4266206896551,0.00015790607703116194
100000,276,898.5693965517241,0.00014526390624819554
100000,287,891.7121724137932,0.00013363388449147678
100000,298,884.8549482758621,0.000122934977762263
100000,309,877.997724137931,0.0001130926397516492
100000,320,871.1405,0.00010403829242748202
1000000,5,1070.0,0.00117
1000000,15,1063.142775862069,0.0010763282421160287
1000000,26,1056.2855517241378,0.0009901559698945134
1000000,37,1049.428327586207,0.0009108827645275666
1000000,48,1042.5711034482758,0.0008379562775365337
1000000,59,1035.7138793103447,0.0007708683821974261
1000000,70,1028.8566551724136,0.0007091516330883612
1000000,81,1021.9994310344828,0.0006523760090903476
1000000,91,1015.1422068965518,0.0006001459171477644
1000000,102,1008.2849827586207,0.000552097435911765
1000000,113,1001.4277586206896,0.0005078957800612623
1000000,124,994.5705344827586,0.0004672329676337501
1000000,135,987.7133103448276,0.00042982567411272625
1000000,146,980.8560862068965,0.00039541325831973296
1000000,157,973.9988620689655,0.0003637559463561105
1000000,167,967.1416379310344,0.00033463316094079057
1000000,178,960.2844137931035,0.00030784198450353094
1000000,189,953.4271896551725,0.00028319574532495326
1000000,200,946.5699655172414,0.0002605227168720902
1000000,211,939.7127413793103,0.00023966492126686214
1000000,222,932.8555172413793,0.00022047702855045997
1000000,233,925.9982931034482,0.00020282534407408718
1000000,243,919.1410689655172,0.0001865868769605478
1000000,254,912.2838448275862,0.00017164848314603947
1000000,265,905.4266206896551,0.00015790607703116194
1000000,276,898.5693965517241,0.00014526390624819554
1000000,287,891.7121724137932,0.00013363388449147678
1000000,298,884.8549482758621,0.000122934977762263
1000000,309,877.997724137931,0.0001130926397516492
1000000,320,871.1405,0.00010403829242748202
